1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
STAN,6,6,0,0,0,0
Celkem,200,67,97,14,11,11
2. schůze, 32. hlasování, 28. listopadu 2017, 17:51Návrh na zřízení SK KPO
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,1,3,2,1
ODS,25,1,16,7,1,0
Pirati,22,0,18,1,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,2,2,7,4
KSCM,15,14,0,0,0,1
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,4,1,0,2
STAN,6,0,6,0,0,0
Celkem,200,107,56,14,12,11
2. schůze, 33. hlasování, 28. listopadu 2017, 17:52Návrh na zřízení SK KPO
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,4,69,3,1,1
ODS,25,18,0,7,0,0
Pirati,22,20,0,1,0,1
SPD,22,1,20,0,0,1
CSSD,15,8,0,2,1,4
KSCM,15,0,7,0,7,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,1,0,2
STAN,6,6,0,0,0,0
Celkem,200,70,96,14,9,11
2. schůze, 34. hlasování, 28. listopadu 2017, 17:52Návrh na zřízení SK KPO
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,72,0,3,2,1
ODS,25,0,15,7,3,0
Pirati,22,0,18,1,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,2,2,7,4
KSCM,15,13,0,0,1,1
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,4,1,0,2
STAN,6,0,6,0,0,0
Celkem,200,106,54,14,15,11
2. schůze, 35. hlasování, 28. listopadu 2017, 17:57Návrh na ustavení SK CEÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,69,3,3,1
ODS,25,16,0,8,1,0
Pirati,22,20,0,0,1,1
SPD,22,0,21,0,0,1
CSSD,15,8,0,2,1,4
KSCM,15,0,8,0,6,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,5,0,1,0,1
STAN,6,5,0,0,1,0
Celkem,200,65,98,14,13,10
2. schůze, 36. hlasování, 28. listopadu 2017, 17:57Návrh na ustavení SK CEÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,3,0,1
ODS,25,0,16,8,1,0
Pirati,22,0,19,0,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,3,2,6,4
KSCM,15,14,0,0,0,1
KDU-CSL,10,0,8,0,1,1
TOP09,7,0,4,1,1,1
STAN,6,0,5,0,1,0
Celkem,200,109,55,14,12,10
2. schůze, 37. hlasování, 28. listopadu 2017, 17:58Návrh na ustavení SK CEÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,73,3,0,1
ODS,25,16,0,8,1,0
Pirati,22,21,0,0,0,1
SPD,22,0,21,0,0,1
CSSD,15,8,0,2,1,4
KSCM,15,0,7,0,7,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,5,0,1,0,1
STAN,6,5,0,0,1,0
Celkem,200,65,101,14,10,10
2. schůze, 38. hlasování, 28. listopadu 2017, 17:59Návrh na ustavení SK CEÚ
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,3,1,1
ODS,25,0,15,8,2,0
Pirati,22,0,19,0,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,3,2,6,4
KSCM,15,14,0,0,0,1
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,5,1,0,1
STAN,6,0,6,0,0,0
Celkem,200,108,57,14,11,10
